event_time,network,network_region,price_aud_mwh,demand_mw
2026-05-02T23:05:00Z,NEM,VIC1,1.18,4298.93
2026-05-02T23:10:00Z,NEM,NSW1,1.45,5966.99
2026-05-02T23:10:00Z,NEM,QLD1,0.0,4507.52
2026-05-02T23:10:00Z,NEM,SA1,-0.01,1042.52
2026-05-02T23:10:00Z,NEM,TAS1,88.24,1046.05
2026-05-02T23:10:00Z,NEM,VIC1,1.19,4334.31
2026-05-02T23:15:00Z,NEM,NSW1,28.01,6037.52
2026-05-02T23:15:00Z,NEM,QLD1,-1.8,4428.26
2026-05-02T23:15:00Z,NEM,SA1,-2.01,975.9
2026-05-02T23:15:00Z,NEM,TAS1,88.24,1036.6
2026-05-02T23:15:00Z,NEM,VIC1,1.18,4308.08
2026-05-02T23:20:00Z,NEM,NSW1,23.88,5921.62
2026-05-02T23:20:00Z,NEM,QLD1,0.0,4451.0
2026-05-02T23:20:00Z,NEM,SA1,-2.01,964.67
2026-05-02T23:20:00Z,NEM,TAS1,96.07,1043.37
2026-05-02T23:20:00Z,NEM,VIC1,8.69,4432.27
2026-05-02T23:25:00Z,NEM,NSW1,10.78,5908.54
2026-05-02T23:25:00Z,NEM,QLD1,0.0,4464.3
2026-05-02T23:25:00Z,NEM,SA1,-3.0,935.1
2026-05-02T23:25:00Z,NEM,TAS1,96.07,1033.15
2026-05-02T23:25:00Z,NEM,VIC1,8.69,4446.75
2026-05-02T23:30:00Z,NEM,NSW1,0.92,5992.37
2026-05-02T23:30:00Z,NEM,QLD1,0.0,4441.73
2026-05-02T23:30:00Z,NEM,SA1,-3.0,941.36
2026-05-02T23:30:00Z,NEM,TAS1,88.24,1028.47
2026-05-02T23:30:00Z,NEM,VIC1,1.17,4473.84
2026-05-02T23:35:00Z,NEM,NSW1,40.54,6052.5
2026-05-02T23:35:00Z,NEM,QLD1,-2.01,4289.96
2026-05-02T23:35:00Z,NEM,SA1,-2.01,941.24
2026-05-02T23:35:00Z,NEM,TAS1,88.24,1025.45
2026-05-02T23:35:00Z,NEM,VIC1,1.16,4521.89
2026-05-02T23:40:00Z,NEM,NSW1,40.54,6052.52
2026-05-02T23:40:00Z,NEM,QLD1,-2.01,4301.49
2026-05-02T23:40:00Z,NEM,SA1,-2.01,914.98
2026-05-02T23:40:00Z,NEM,TAS1,88.58,1026.3
2026-05-02T23:40:00Z,NEM,VIC1,1.49,4667.03
2026-05-02T23:45:00Z,NEM,NSW1,37.89,6010.46
2026-05-02T23:45:00Z,NEM,QLD1,-2.0,4352.51
2026-05-02T23:45:00Z,NEM,SA1,-3.0,869.84
2026-05-02T23:45:00Z,NEM,TAS1,96.14,1008.77
2026-05-02T23:45:00Z,NEM,VIC1,8.69,4681.36
2026-05-02T23:50:00Z,NEM,NSW1,11.3,5955.2
2026-05-02T23:50:00Z,NEM,QLD1,-2.45,4310.01
2026-05-02T23:50:00Z,NEM,SA1,-4.0,841.85
2026-05-02T23:50:00Z,NEM,TAS1,96.14,1019.37
2026-05-02T23:50:00Z,NEM,VIC1,8.69,4618.57
2026-05-02T23:55:00Z,NEM,NSW1,10.51,5846.16
2026-05-02T23:55:00Z,NEM,QLD1,-2.44,4279.53
2026-05-02T23:55:00Z,NEM,SA1,-3.01,813.38
2026-05-02T23:55:00Z,NEM,TAS1,96.12,1011.51
2026-05-02T23:55:00Z,NEM,VIC1,8.69,4698.14
2026-05-03T00:00:00Z,NEM,NSW1,1.4,5813.45
2026-05-03T00:00:00Z,NEM,QLD1,-2.45,4202.57
2026-05-03T00:00:00Z,NEM,SA1,-4.0,781.32
2026-05-03T00:00:00Z,NEM,TAS1,88.24,1011.58
2026-05-03T00:00:00Z,NEM,VIC1,1.18,4715.44
2026-05-03T00:05:00Z,NEM,NSW1,0.92,5772.07
2026-05-03T00:05:00Z,NEM,QLD1,-2.0,4244.05
2026-05-03T00:05:00Z,NEM,SA1,-4.0,756.75
2026-05-03T00:05:00Z,NEM,TAS1,88.24,1007.29
2026-05-03T00:05:00Z,NEM,VIC1,0.77,4684.13
2026-05-03T00:10:00Z,NEM,NSW1,11.3,5955.91
2026-05-03T00:10:00Z,NEM,QLD1,-2.01,4314.03
2026-05-03T00:10:00Z,NEM,SA1,-4.0,789.31
2026-05-03T00:10:00Z,NEM,TAS1,96.12,1004.34
2026-05-03T00:10:00Z,NEM,VIC1,8.69,4644.82
2026-05-03T00:15:00Z,NEM,NSW1,11.3,5805.75
2026-05-03T00:15:00Z,NEM,QLD1,0.0,4323.64
2026-05-03T00:15:00Z,NEM,SA1,-4.0,835.95
2026-05-03T00:15:00Z,NEM,TAS1,88.24,1004.22
2026-05-03T00:15:00Z,NEM,VIC1,1.18,4711.93
2026-05-03T00:20:00Z,NEM,NSW1,0.92,5800.61
2026-05-03T00:20:00Z,NEM,QLD1,0.0,4312.05
2026-05-03T00:20:00Z,NEM,SA1,-4.0,819.84
2026-05-03T00:20:00Z,NEM,TAS1,88.24,1002.58
2026-05-03T00:20:00Z,NEM,VIC1,0.0,4693.33
2026-05-03T00:25:00Z,NEM,NSW1,11.3,5854.85
2026-05-03T00:25:00Z,NEM,QLD1,-1.8,4189.98
2026-05-03T00:25:00Z,NEM,SA1,-5.15,811.8
2026-05-03T00:25:00Z,NEM,TAS1,91.7,999.3
2026-05-03T00:25:00Z,NEM,VIC1,4.5,4736.25
2026-05-03T00:30:00Z,NEM,NSW1,11.3,5696.63
2026-05-03T00:30:00Z,NEM,QLD1,0.0,4221.15
2026-05-03T00:30:00Z,NEM,SA1,-3.01,826.65
2026-05-03T00:30:00Z,NEM,TAS1,88.24,1004.24
2026-05-03T00:30:00Z,NEM,VIC1,1.19,4753.36
2026-05-03T00:35:00Z,NEM,NSW1,0.0,5605.54
2026-05-03T00:35:00Z,NEM,QLD1,-2.0,4239.39
2026-05-03T00:35:00Z,NEM,SA1,-4.0,832.01
2026-05-03T00:35:00Z,NEM,TAS1,88.24,1005.89
2026-05-03T00:35:00Z,NEM,VIC1,0.0,4700.4
2026-05-03T00:40:00Z,NEM,NSW1,-2.01,5585.14
2026-05-03T00:40:00Z,NEM,QLD1,-2.02,4201.84
2026-05-03T00:40:00Z,NEM,SA1,-3.0,930.49
2026-05-03T00:40:00Z,NEM,TAS1,88.24,996.84
2026-05-03T00:40:00Z,NEM,VIC1,1.18,4735.37
2026-05-03T00:45:00Z,NEM,NSW1,-2.18,5462.6
